epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5362,1.33437,3.00762,1.45322,0.00291,1,0.49272,0.29709,0.94156,2.82259,1.19279,0.000466807,0.000466807,0.000466807
2,17.6985,1.22275,2.63273,1.40161,0.38221,0.68846,0.43084,0.2644,1.31172,2.29071,1.41052,0.000924466,0.000924466,0.000924466
3,22.7254,1.31134,2.38474,1.45628,0.41658,0.71667,0.45391,0.27098,1.55535,2.597,1.53202,0.00136326,0.00136326,0.00136326
4,27.5534,1.41808,2.26307,1.52224,0.66815,0.3771,0.53414,0.28658,1.48232,2.32653,1.51385,0.00134412,0.00134412,0.00134412
5,32.4476,1.33524,2.23511,1.48521,0.44016,0.37395,0.38611,0.21599,1.44072,3.12594,1.51435,0.00131582,0.00131582,0.00131582
6,37.2914,1.4541,2.42241,1.56978,0.44532,0.39392,0.43628,0.21772,1.56569,2.67741,1.59262,0.00128753,0.00128753,0.00128753
7,42.2755,1.34988,2.37219,1.52496,0.34184,0.43333,0.36528,0.18905,1.48992,3.29947,1.53897,0.00125923,0.00125923,0.00125923
8,47.27,1.39278,2.22736,1.52363,0.28879,0.59013,0.37427,0.18306,1.6453,4.7138,1.77821,0.00123094,0.00123094,0.00123094
9,52.1448,1.34411,2.15154,1.53943,0.53624,0.45,0.48152,0.24343,1.86046,5.36305,1.95982,0.00120265,0.00120265,0.00120265
10,58.085,1.33227,2.11712,1.45986,0.37975,0.48333,0.45858,0.26805,1.83855,3.79625,2.09585,0.00117435,0.00117435,0.00117435
11,63.2267,1.24855,2.07889,1.45827,0.32301,0.78333,0.44779,0.24081,1.4457,4.27613,1.64737,0.00114606,0.00114606,0.00114606
12,68.222,1.29126,2.10791,1.43274,0.26784,0.75,0.40461,0.22981,1.51413,4.79694,1.68015,0.00111776,0.00111776,0.00111776
13,73.2729,1.31347,2.00788,1.47941,0.50039,0.5352,0.56256,0.31197,1.58698,4.33408,1.73415,0.00108947,0.00108947,0.00108947
14,78.222,1.31274,2.30928,1.45958,0.42897,0.7308,0.58827,0.34099,1.53987,3.66254,1.68561,0.00106118,0.00106118,0.00106118
15,83.35,1.21617,2.02244,1.43511,0.4324,0.51773,0.54613,0.32418,1.25281,2.53137,1.58961,0.00103288,0.00103288,0.00103288
16,88.2424,1.19753,2.04448,1.4259,0.38087,0.63144,0.54896,0.331,1.27722,2.41281,1.64754,0.00100459,0.00100459,0.00100459
17,93.2923,1.20864,1.94049,1.42462,0.28952,0.75977,0.511,0.33665,1.28295,2.47681,1.58945,0.000976293,0.000976293,0.000976293
18,98.5451,1.32989,1.9683,1.45184,0.35386,0.81667,0.56622,0.36735,1.39263,2.71616,1.52437,0.000947999,0.000947999,0.000947999
19,103.673,1.10877,1.77737,1.33222,0.4166,0.76775,0.59459,0.36124,1.43906,2.4313,1.54278,0.000919704,0.000919704,0.000919704
20,108.83,1.18225,1.81636,1.37556,0.33496,0.71059,0.5852,0.35415,1.57108,3.80007,1.77735,0.00089141,0.00089141,0.00089141
21,113.906,1.23502,1.93325,1.40008,0.3175,0.66667,0.52194,0.29999,1.53073,3.52946,1.73298,0.000863116,0.000863116,0.000863116
22,119.028,1.16336,1.71794,1.38304,0.39541,0.63333,0.53533,0.34815,1.22665,3.52616,1.45688,0.000834822,0.000834822,0.000834822
23,123.944,1.08843,1.80284,1.34403,0.48404,0.6,0.5576,0.33414,1.2352,3.91786,1.50516,0.000806528,0.000806528,0.000806528
24,128.768,1.22822,2.07293,1.40866,0.53174,0.45636,0.58022,0.34019,1.26789,3.37789,1.49881,0.000778233,0.000778233,0.000778233
25,133.812,0.99811,1.84148,1.25011,0.55201,0.45,0.52719,0.33144,1.34491,2.56643,1.57759,0.000749939,0.000749939,0.000749939
26,138.847,1.18829,1.80149,1.3801,0.41766,0.66667,0.55582,0.3353,1.41188,2.8058,1.60463,0.000721645,0.000721645,0.000721645
27,143.872,1.14195,1.72906,1.33705,0.43524,0.66667,0.63361,0.40771,1.33228,2.69412,1.53311,0.000693351,0.000693351,0.000693351
28,148.961,1.17418,1.79262,1.37063,0.46968,0.47217,0.58841,0.3826,1.38488,2.71763,1.5458,0.000665057,0.000665057,0.000665057
29,153.915,1.08122,1.64322,1.32283,0.38799,0.66667,0.5816,0.386,1.3831,2.13162,1.54853,0.000636762,0.000636762,0.000636762
30,158.911,1.18915,1.7759,1.34809,0.54082,0.45,0.56076,0.35905,1.40099,2.47613,1.55798,0.000608468,0.000608468,0.000608468
31,163.813,1.12501,1.81071,1.32023,0.47552,0.54704,0.53792,0.32405,1.21072,2.79571,1.47357,0.000580174,0.000580174,0.000580174
